resolution,batch_size,input_dim,p50_ms,p90_ms,p95_ms,throughput_fps,peak_vram_mb,process_rss_mb
320,1,1x3x320x320,0.867,1.799,1.886,1153.3,8.09,914.0
320,2,2x3x320x320,0.694,1.1,1.179,2880.7,14.67,925.63
320,4,4x3x320x320,0.846,1.834,2.606,4729.6,27.35,926.0
320,8,8x3x320x320,1.087,1.474,1.526,7361.0,52.49,976.88
416,1,1x3x416x416,0.819,1.967,2.192,1220.9,12.53,977.13
416,2,2x3x416x416,0.965,1.87,2.552,2072.5,23.42,977.38
416,4,4x3x416x416,0.98,1.425,1.941,4080.6,45.71,979.5
416,8,8x3x416x416,2.061,2.279,2.734,3880.7,88.12,979.75
512,1,1x3x512x512,1.051,1.633,3.193,951.4,18.57,980.0
512,2,2x3x512x512,0.926,2.32,2.562,2159.6,34.87,980.13
512,4,4x3x512x512,1.036,1.068,1.075,3862.7,66.89,980.38
512,8,8x3x512x512,2.808,2.907,2.931,2848.9,129.87,980.5
640,1,1x3x640x640,0.72,2.086,2.525,1389.4,26.53,980.75
640,2,2x3x640x640,0.833,1.169,1.375,2399.9,53.39,981.0
640,4,4x3x640x640,1.826,2.034,2.093,2190.4,102.95,981.13
640,8,8x3x640x640,4.581,4.667,4.683,1746.4,203.29,983.75
